ENSMUST00000097833	Gm10568
NM_011541	Tcea1
NM_009826	Rb1cc1
NM_026493	Cspp1
NM_010827	Msc
NM_016980	Rpl5
NM_172015	Iars
NM_145825	Cetn4
NM_183322	Khdc1a
NM_026503	1110058L19Rik
ENSMUST00000064487	Gm9884
NM_194446	Cdk10
NM_153601	Lgsn
NM_153783	Paox
NM_009942	Cox5b
BC147491	Vwa3b
NM_053257	Rpl31
NM_010879	Nck2
NM_024283	1500015O10Rik
NM_207523	Rpl23a
ENSMUST00000097760	Dnahc7b
NM_001039710	Coq10b
NM_008303	Hspe1
NM_175439	Mars2
NM_007624	Cbx3
NM_207653	Cflar
NM_001033449	Als2cr4
NM_173444	Nbeal1
NM_144958	Eif4a1
NM_001002239	Rpl17
NM_001081050	Pard3b
NM_175510	Unc80
NM_019647	Rpl21
NM_009084	Rpl37a
NM_001039509	Pnkd
NM_009208	Slc4a3
NM_001081746	Gm7609
BC100303	A530040E14Rik
NM_001013817	Sp140
NM_133781	Cab39
NM_010880	Ncl
NM_008972	Ptma
NM_026454	Ube2f
NM_011796	Capn10
NM_025920	Thap4
NM_199366	Gal3st2
NM_009797	Capza1
NM_026521	Zfp706
NM_009741	Bcl2
NM_199021	Dpp10
NM_133819	Ppp1r15b
NM_145510	Rabif
NM_007955	Ptprv
NM_173437	Nav1
NM_001081258	Kif14
NM_013551	Hmbs
NM_054102	Ivns1abp
NM_010877	Ncf2
NM_008131	Glul
NM_172843	Tor1aip2
NM_007788	Csnk2a1
NM_026515	2810417H13Rik
NM_011931	Rfwd2
NM_001024952	Rc3h1
NR_002840	Gas5
NR_002870	Dnm3os
NM_001038619	Dnm3
NM_010865	Myoc
NM_028776	Scyl3
NM_001164528	Ildr2
NM_009063	Rgs5
NM_010633	Uhmk1
NM_001109985	Nos1ap
NM_023173	Dusp12
NR_004412	Rnu1b1
NM_019484	Refbp2
NM_183250	Ccdc72
ENSMUST00000111149	Gm16432
NM_024282	Pppde1
NM_025511	Fam36a
NM_001161665	Kif26b
NM_026375	Ahctf1
NM_027999	Haus5
NM_012058	Srp9
NM_001171893	Gm10240
NM_001081259	Mfsd7b
NM_008253	Hmgb3
NM_025415	Cks2
NM_173443	Vcpip1
NM_133354	Sumo2
NM_011291	Rpl7
AK081751	Jph1
NM_145380	Eif3m
NM_025520	Lsm5
NM_011200	Ptp4a1
NM_001164286	Gm5415
NM_027957	Fam178b
ENSMUST00000076703	Rpl12
NM_172054	Txndc9
NM_011660	Txn1
NM_010860	Myl6
NM_025586	Rpl15
ENSMUST00000097739	Pgap1
NM_010477	Hspd1
NM_013795	Atp5l
NM_009460	Sumo1
NM_021312	Wdr12
NM_025596	Prelid1
NM_011287	Rpl10a
NM_001082573	Crygc
NM_007525	Bard1
NM_001110239	Acp1
NM_027884	Tns1
NM_023230	Ube2v1
NM_007451	Slc25a5
NM_011636	Plscr1
NM_033616	Csprs
BC094285	A530032D15Rik
NM_175397	Sp110
NM_011290	Rpl6
NM_029122	Iqca
NM_011563	Prdx2
NM_009190	Vps4b
NM_025860	Ddx18
NM_172484	Nckap5
NM_011975	Rpl27a
NM_001081307	Ppp1r12b
NM_011590	Timm17a
NM_146231	Zfp825
NM_212457	Bex4
NM_001024720	Hmcn1
NM_025379	Cox7b
NM_197990	1700025G04Rik
NM_025677	Tsen15
NM_001039184	Cep350
NM_001085376	Pappa2
NM_027862	Atp5h
NM_001033269	Eif4e1b
NM_025650	Uqcr11
ENSMUST00000053686	Uck2
NM_026219	Uqcrb
NM_011289	Rpl27
NM_008249	Tfb2m
NM_008210	H3f3a
NM_019746	Pdcd5
NM_144880	Ppp2r5a
NM_181796	Gstp2
NM_001079686	Syne1
NM_001033466	Zbtb2
NM_145418	BC013529
NM_175155	Sash1
NM_013898	Timm8a1
NM_008703	Nmbr
NM_173390	Nhsl1
NM_019702	Hbs1l
NM_018858	Pebp1
NM_134101	Psmd2
NM_029726	Trdn
NM_010359	Gstm3
NM_008722	Npm1
XR_032514	Akd1
NM_025571	Magmas
NM_172393	Aim1
NM_001037741	Gpx4
NM_053187	Gopc
ENSMUST00000098764	Gm10674
NM_178745	Tmem229b
NM_153542	Lrrc20
NM_007494	Ass1
NM_181423	Supv3l1
NM_028197	2510003E04Rik
NM_026101	Herc4
ENSMUST00000120239	Sirt1
NM_009096	Rps6
NM_207221	Jmjd1c
NM_025807	Slc16a9
NM_031397	Bicc1
NM_023794	Etv5
NM_001081412	Bcr
NM_008787	Pcnt
NM_025349	Lsm7
NM_207201	Olfr8
NM_001104537	Vmn2r83
NM_001077363	Ptbp1
NM_009091	Rps15
NM_199322	Dot1l
NM_008753	Oaz1
NM_008688	Nfic
DQ459435	Gm4924
NM_018829	Ap3m1
NM_172552	Tdg
NM_020024	Taf10
NM_011967	Psma5
NM_153195	Fbxo7
NM_029166	Uhrf1bp1l
NM_080560	Ube2n
NM_007884	Epyc
NM_001033474	4921506J03Rik
NM_021452	Kcnmb4
NM_001037846	Cnot2
NM_009082	Rpl29
NM_146242	Lrrc10
NM_016971	Il22
NM_001014390	Dyrk2
NM_025431	Llph
NM_010441	Hmga2
BC065058	BC048403
NM_146012	Ctdsp2
ENSMUST00000080975	Os9
NM_008080	B4galnt1
NM_026943	Snrpd2
NM_001113199	Naca
NM_019766	Ptges3
NM_133992	Pan2
NM_025364	Sarnp
NM_001011822	Olfr787
NM_177387	Ust
ENSMUST00000044306	Grm1
NM_031165	Hspa8
NM_028440	3110003A17Rik
ENSMUST00000095817	Ect2l
NM_053264	4930444G20Rik
NM_180600	Ube2q2
NM_011295	Rps12
NM_001110197	Rnf146
NM_001013411	Nkain2
BC092267	Gapdh
NM_009665	Amd1
NM_001034858	Armc2
ENSMUST00000105502	Foxo3
NM_009098	Rps8
NM_027384	Tet1
NM_001036293	Nrbf2
NM_134007	Cisd1
NR_003644	1700049L16Rik
NM_010798	Mif
NM_010174	Fabp3
BC024574	1110012L19Rik
ENSMUST00000067705	4930485B16Rik
NM_007706	Socs2
BC006736	3200002M19Rik
NM_001177567	Gm6924
AK150562	Cdc5l
NM_001081040	Coq10a
NM_018860	Rpl41
BC132471	Gm129
NM_013765	Rps26
NM_177411	Rab5b
NM_011029	Rpsa
NM_015740	Bloc1s1
NM_207159	Olfr814
NM_146672	Olfr816
NM_146269	Olfr247
NM_001103365	Vmn2r86
NM_019574	Patz1
NM_022889	Pes1
NM_023816	Ankrd36
NM_173748	Nudcd3
NM_015785	Zpbp
NM_001110208	Akt2
NM_025443	Pno1
NM_033523	Spred2
NM_009092	Rps17
NM_172391	Ahsa2
NM_025923	Fancl
NM_027260	Vrk2
NR_002890	Gm12070
NM_134034	Smek2
NM_176829	4931440F15Rik
ENSMUST00000101381	C530030P08Rik
NM_212468	Ssbp1
NM_008070	Gabrb2
ENSMUST00000081265	Ebf1
NM_146909	Olfr51
NM_010997	Olfr54
NM_025444	Taf13
ENSMUST00000104955	Ankrd43
NM_008390	Irf1
NM_025699	3230401D17Rik
NM_022987	Zic5
NM_028451	Larp1
NM_001011818	Olfr316
NM_146536	Olfr313
ENSMUST00000080633	Gm12258
NM_024210	2310033P09Rik
NM_172941	Zkscan17
NM_011991	Cops3
NM_011664	Ubb
NM_001099288	AU040829
NM_028005	2310047M10Rik
NM_033041	Hes7
NM_146019	Chd3
NM_001017426	Kdm6b
NM_001033433	Tmem102
NM_026017	Dullard
NM_008876	Pld2
NM_153103	Kif1c
NM_029564	Tax1bp3
NM_177367	Gemin4
NM_018730	Rpl36
NM_177710	Ssh2
NM_010480	Hsp90aa1
NM_026185	Abhd15
NM_183286	Dhrs13
NM_145430	BC017647
NM_013571	Ksr1
NM_178680	Unc45b
NM_011409	Slfn3
NM_133360	Acaca
NM_145433	Mrm1
NM_016738	Rpl13
NM_025825	Appbp2
NM_016910	Ppm1d
NR_003564	Gm15698
NR_003492	2210409E12Rik
AB045721	Spata20
NM_053161	Mrpl27
NM_008831	Phb
NM_021493	Arhgap23
NM_011971	Psmb3
NM_026186	Cwc25
NM_009078	Rpl19
NM_001109626	Cdk12
NM_028722	Msl1
NM_011508	Eif1
NM_019444	Ramp2
NM_172566	Rundc1
NM_001110130	Ppih
NM_008175	Grn
NM_197959	Kif18b
NM_026551	Dcakd
NM_181071	Tanc2
ENSMUST00000019734	Cyb561
NM_010303	Gna13
NM_001048057	Rpl38
NM_001110337	Gprc5c
NM_001005608	Itgb4
U72673	Socs3
NM_172573	Engase
AK173199	Rnf213
NM_024249	Slc38a10
NM_175263	Notum
NM_016660	Hmga1
NM_145370	Gps1
NM_030694	Ifitm2
NM_007968	Ewsr1
NM_170669	Rps15a
ENSMUST00000059507	Purb
NM_009090	Polr2c
NM_011343	Sec61g
NM_024475	Ublcp1
NR_027973	5730522E02Rik
NM_001045525	Cyb5d1
NM_001033865	Rps27a
NR_028277	Gm6644
NM_134114	Sft2d1
NM_010439	Hmgb1
NM_001081282	Ibtk
NM_007840	Ddx5
NM_013812	Cdk2ap1
NM_011190	Psme2
NM_011579	Tgtp1
NR_028101	Gm12191
NM_013472	Anxa6
NM_009725	Atp5f1
NM_175287	A430005L14Rik
NM_026688	Ndufs3
NM_024218	Rpl24
NM_146879	Olfr330
NM_001171512	Obscn
NM_007476	Arf1
NM_011790	Arih2
XR_031286	LOC674295
NM_130881	Pabpc4
NM_021539	Wsb2
NM_021329	Rangrf
NM_001166590	Eif5a
NM_007749	Cox7c
NM_144825	Taok1
NM_030145	Lsm6
NM_133706	Tmem97
NM_177390	Myo1d
NM_011292	Rpl9
NM_009438	Rpl13a
NM_011505	Stxbp4
NM_008705	Nme2
NM_181819	Wfikkn2
NM_153807	Acsf2
NM_009951	Igf2bp1
NM_001161419	Atp5g1
NM_029755	Calcoco2
NM_022891	Rpl23
NR_028078	Snora21
NM_011623	Top2a
NM_020618	Smarce1
NM_027800	Krtap2-4
NM_029613	Krtap4-7
NM_027087	Krtap4-13
NR_004414	Rnu2
NM_001159492	Gpatch8
BC054752	1700081L11Rik
NM_025481	Smurf2
NM_010655	Kpna2
NM_176850	Bptf
NM_001101657	Gm11711
NM_009387	Tk1
NM_001167746	Dnahc17
NM_138669	Eif4a3
NM_009609	Actg1
NM_134046	Cenpo
NM_001099628	Atad2b
NM_008692	Nfyc
NM_027706	Nbas
NM_009072	Rock2
NM_024175	Rps23
NM_013614	Odc1
NM_016677	Hpcal1
NM_009761	Bnip3l
BC150925	5730507C01Rik
XR_033945	Gm9282
ENSMUST00000101569	Gm5784
BC099486	LOC100043371
BC063063	2410018L13Rik
NM_001162903	2010109K11Rik
NM_028139	Atxn7l1
NM_178629	Ispd
NM_007960	Etv1
NM_013562	Ifrd1
NM_013780	Npas3
NM_021529	Ppp2r3c
BC049669	1700047I17Rik1
NM_001112714	Ralgapa1
NM_008503	Rps2
NM_011847	Dnajb6
NM_007481	Arf6
NM_178628	Atl1
NM_008697	Nin
NM_011184	Psma3
NM_001005510	Syne2
NM_134156	Actn1
NM_001079695	Sfrs5
NM_027349	Rbm25
NM_023633	2410016O06Rik
NM_013589	Ltbp2
XM_001476146	Gm4005
NM_001177565	Gm8300
NM_178657	Oog1
NM_008947	Psmc1
NM_026681	Ccdc88c
NM_211355	Smek1
NR_033653	Kif4b
NM_177602	Wdr25
NM_184109	Rtl1
NM_024266	Rps25
NM_001135001	Ppp2r5c
NM_023133	Rps19
NM_028807	1200009I06Rik
NM_013929	Siva1
NM_028193	Brf1
NM_001040695	Uevld
NM_019744	Ncoa4
NM_001160385	Tmem196
NM_145441	Ubxn2a
NM_023716	Tubb2b
AK148766	3110053B16Rik
AJ005350	Zfp125
NM_023536	Mrto4
ENSMUST00000072014	Gm10330
NM_001159529	Cox7a2l
NM_011300	Rps7
NM_181412	Zbed4
NM_021361	Nova1
NM_144788	Hectd1
NR_030764	2700097O09Rik
NM_053071	Cox6c
NR_033604	Gm4971
AK163637	Mdga2
NM_009093	Rps29
NM_025589	Rpl36al
NM_007951	Erh
NM_001038995	Gm4787
NM_025292	Synj2bp
NM_001163502	C130039O16Rik
NM_026775	Tmed10
NM_001080943	Zdhhc22
NM_001013824	Gm5662
NR_003647	Gm5039
BC005685	BC005685
NM_001081191	Eml5
BC029185	Foxn3
NM_175493	Gpr68
NM_029654	Atg2b
NM_028262	Setd3
NM_018819	Brp44l
BC138468	Ahnak2
BC092049	Ighg
BC055910	AI324046
ENSMUST00000103521	LOC382693
ENSMUST00000103540	LOC100046275
ENSMUST00000103552	LOC435333
ENSMUST00000103538	LOC641089
NM_029961	Abcb5
XR_030658	Gm8598
NM_145360	Idi1
NM_177197	Idi2
NM_001081426	Dip2c
NM_010984	Olfr263-ps1
NM_001039115	Zkscan4
NM_026921	Isca1
NM_145073	Hist1h3g
NM_001177653	Hist1h2be
NM_001110555	Gm11277
NM_013548	Hist1h3f
NM_178204	Hist1h3d
NM_001177544	Hist1h2ao
NM_023422	Hist1h2bc
NM_178193	Hist1h4b
NM_026825	Lrrc16a
NM_172156	Prl3d3
NM_011296	Rps18
NM_008239	Foxq1
NM_030215	Wrnip1
NM_011455	Serpinb9g
NM_025750	4933417A18Rik
NM_023842	Dsp
NM_013560	Hspb1
NM_001033192	C78339
NM_033623	Dcun1d1
BC147515	Gm906
NM_029303	Pfn3
NR_031761	Rmi1
NM_019979	Selk
NM_025762	4933434E20Rik
NM_175252	6720457D02Rik
NR_030493	Mir713
NM_008615	Me1
NM_023507	0610007P08Rik
NM_001177832	Gm10324
NM_183146	A530054K11Rik
NM_007475	Rplp0
NM_023231	Stoml2
NM_030174	Mctp1
NM_025523	Ndufc1
NM_025335	Tmem167
NM_023821	Cmya5
NM_009712	Arsb
NM_145455	Btf3
NM_028044	Cnn3
NM_011353	Serf1
NM_027592	Taf9
NM_001081222	Esco1
BC084675	Rps3a
NM_178746	Slc38a9
NM_134058	Pelo
NM_001005859	Rpl34
NM_010330	Emb
NM_021556	Mrps30
NR_003544	Nnt
NM_001113550	4833420G17Rik
NM_021338	Rpl35a
ENSMUST00000021574	Gtpbp4
NM_031999	Gpr137b
NM_133834	Hnrnpf
NM_025904	1600012F09Rik
NM_032460	Bat4
NM_001080387	Sfrs13a
NM_134218	Vmn1r208
NM_020567	Gmnn
NM_010093	E2f3
NM_172143	Ofcc1
NM_019832	Gkap1
NM_025279	Hnrnpk
NM_001081129	Cntnap3
NM_175290	Nlrp4f
NM_019743	Rybp
AY149175	Zfp640
NM_001001187	Zfp738
NM_144837	BC018507
NM_134071	Ankrd32
NM_023538	Agk
NM_133905	Papd4
NM_016668	Bhmt
NM_027453	Btf3l4
NM_019755	Plp2
NM_021552	Nsa2
NM_024171	Sec61b
NM_009874	Cdk7
NM_025369	Mrps36
NM_172301	Ccnb1
NM_146238	Gemin8
NM_026120	2410127L17Rik
NR_033388	Gm3002
NM_001024706	Gm5458
NM_001164727	Gm10406
NM_029288	Gm1973
NM_177135	D830030K20Rik
ENSMUST00000090634	Gm10044
NM_009193	Slbp
NM_146052	Lrrc3b
NM_010191	Fdft1
NM_172596	Sec24c
NM_028428	Fut11
NM_011695	Vdac2
NM_153164	Cnot1
NM_011297	Rps24
NM_183208	Zmiz1
NM_013469	Anxa11
NM_183389	Duxbl
NM_175342	Cphx
NM_001134465	Fam116a
NM_178668	Pde12
ENSMUST00000022433	Dnahc12
NM_134437	Il17rd
NM_019460	Sfmbt1
NM_001081251	Pbrm1
ENSMUST00000096028	Gm626
ENSMUST00000095985	1700049E17Rik1
NM_001013816	Gm5622
NM_029131	4930503E14Rik
NM_009760	Bnip3
NM_019637	Styx
ENSMUST00000103612	Gm8736
BC147846	Tcra
ENSMUST00000103645	Gm13969
X04330	Tcra-V8
ENSMUST00000103668	Trav13-4/dv7
ENSMUST00000103660	Gm13926
X63928	Gm13949
NM_026936	Oxa1l
NM_199470	Cdh24
NM_080728	Myh7
NM_133734	Dcaf11
NM_001040072	Nynrin
NM_138652	Atp12a
NM_025682	Pspc1
NM_017367	Ccni
NM_008125	Gjb2
NM_009119	Sap18
NM_029492	Zdhhc20
NM_028113	Fam123a
NM_172809	Sacs
NM_199029	Zfp395
NM_010095	Ebf2
NM_033325	Loxl2
NM_008915	Ppp3cc
NM_194345	Fam160b2
NM_026119	Med4
NM_001081475	Nasp
NM_016903	Esd
NM_001033439	Lrch1
NM_177381	Cog3
NM_009429	Tpt1
NM_172813	Enox1
NM_021543	Pcdh8
NM_172605	Tdrd3
ENSMUST00000095562	Gm6219
BC092045	Tpm3
NM_025943	Dzip1
NM_028651	Tmtc4
ENSMUST00000112775	Gm8160
NM_001024712	Gm3696
NM_026528	2700060E02Rik
NM_030180	Usp54
NM_207229	Plac9
NM_013721	Rpl7a
ENSMUST00000096038	3425401B19Rik
NM_001146022	Wdfy4
ENSMUST00000063372	Gprin2
NM_001098269	Gm10375
ENSMUST00000095981	Gm8020
NM_175565	Cdv3
NM_007894	Ear1
NM_019425	Gnpnat1
NM_026160	Map1lc3b
NM_001011530	Olfr723
NM_133676	Osgep
NM_028312	Ccdc12
NM_021402	Ube2j2
NM_021480	Tdh
ENSMUST00000089320	Mtmr9
NM_134078	Chmp7
NM_172527	Nudt15
NM_001164503	Akap11
NR_033535	Gm10845
NM_019670	Diap3
NM_001081377	Pcdh9
NM_019865	Rpl36a
NM_175245	2410129H14Rik
ENSMUST00000022791	Fbxo4
NM_026069	Rpl37
NM_001162906	2410089E03Rik
NM_207216	Ugt3a1
NM_011169	Prlr
NM_025673	Golph3
XM_001487793	Cdh18
NM_177597	March11
NM_177151	Vps13b
NM_001039368	Polr2k
NR_033609	A930017M01Rik
XR_030628	LOC100044384
NM_013663	Sfrs3
NR_030696	9930014A18Rik
NM_021884	Tsg101
NM_001167581	Gsdmcl1
NM_001081409	Phf20l1
NM_010158	Khdrbs3
ENSMUST00000050234	Jrk
AJ242831	Gml
NM_028852	Spatc1
NM_153122	Oplah
NM_175457	Heatr7a
NM_172960	Adck5
NM_001134802	Apol7e
NM_183141	Elfn2
NM_019770	Tmed2
NM_020271	Pdxp
NM_177461	Micall1
NM_172609	Tomm22
NM_001160415	Apobec3
NM_019712	Rbx1
NM_001166475	4930407I10Rik
NM_007692	Chkb
