Gene	logFC	logCPM	PValue	FDR		Gene	B56	B57	B58	Y59	Y60	Y61	Y62		Comparison	of	groups:	Yaa-B6
Mybl1	4.43E+00	5.079219327	3.18E-150	3.99E-146		Mybl1	2.393261483	3.38551687	2.265132167	48.34424029	58.21554178	49.72002952	70.74334401					
Chst1	3.77E+00	4.99322042	1.15E-149	7.21E-146		Chst1	3.400950528	4.062620244	4.40082821	47.85591463	60.60603504	46.78354455	54.82276094					
Mef2b	4.87E+00	4.58857408	5.59E-131	2.33E-127		Mef2b	1.448553003	1.4157616	1.423797362	36.99066871	39.51344744	33.63610051	52.89097471					
Gm600	4.98E+00	4.495473073	5.42E-130	1.70E-126		Gm600	1.637494699	1.169542191	0.906052867	29.97098735	44.50535984	34.9041281	43.96479007					
S1pr2	3.30E+00	5.10079349	5.95E-112	1.49E-108		S1pr2	6.424017664	5.416826991	5.436317201	51.15211283	57.4421469	45.64899354	67.27945146					
Ly6a	1.66E+00	7.972557137	7.96E-104	1.66E-100		Ly6a	109.6491642	120.9552845	112.933018	348.5424395	347.8167695	384.2123623	323.7407268					
Aicda	4.17E+00	4.415491332	7.71E-92	1.38E-88		Aicda	1.322591872	2.154419826	2.588722476	28.6891325	38.95097844	29.16463476	45.63012302					
Igj	2.14E+00	10.42594798	1.51E-81	2.37E-78		Igj	447.8548001	528.0790768	439.3062043	1598.656128	2570.834885	2132.889159	1837.261931					
Gcet2	2.95E+00	5.113210645	7.76E-77	1.08E-73		Gcet2	7.431706709	6.401704626	8.025039677	45.04804209	60.81696092	43.713583	69.41107765					
Pdcd1	3.30E+00	4.445542613	3.66E-70	4.58E-67		Pdcd1	3.463931093	3.877955687	3.624211467	32.71781919	36.3495593	25.36055197	46.22964289					
Eaf2	2.86E+00	4.626466903	7.25E-70	8.26E-67		Eaf2	5.416328618	6.586369183	4.40082821	32.41261565	49.00511186	37.17323012	37.1702316					
Sostdc1	6.35E+00	3.306982254	3.84E-68	4.01E-65		Sostdc1	0.314902827	0	0.32359031	16.60307242	17.78808221	10.27769738	23.51450135					
Il21	5.90E+00	2.704757586	9.77E-67	9.41E-64		Il21	0.314902827	0.123109704	0.129436124	9.27818753	11.24938005	10.21095908	14.25525011	11.24844419	0.189149552			
Iigp1	2.71E+00	4.561020583	1.32E-66	1.18E-63		Iigp1	7.116803882	5.232162435	4.983290767	40.34790762	33.39659703	30.96656872	42.23284379					
2010001M09Rik	1.71E+00	8.126737683	7.16E-62	5.98E-59		2010001M09Rik	119.537113	135.2975651	113.4507625	324.9196857	483.0905647	417.9819394	350.2528275					
Derl3	2.24E+00	5.278993086	1.63E-58	1.28E-55		Derl3	10.07689045	14.2807257	13.46135688	48.58840312	71.29294609	62.26682891	50.55950857					
Creld2	1.63E+00	6.250738682	6.31E-58	4.65E-55		Creld2	33.19075793	35.94803367	36.11267855	88.69214791	127.3289205	111.8533818	97.72173792					
Igtp	1.19E+00	6.790708755	1.65E-57	1.15E-54		Igtp	67.64112717	61.73951673	65.81826896	152.2965651	147.0153356	138.0815316	139.6881284					
Zbp1	1.70E+00	6.429115705	3.32E-57	2.19E-54		Zbp1	39.04795051	42.28818344	34.17113669	149.2445297	107.5018881	120.6628367	106.5813092					
Cep55	2.49E+00	4.239558925	3.69E-55	2.31E-52		Cep55	5.353348053	5.478381844	4.983290767	24.84356793	31.3576469	25.69424344	34.10601896					
Cacna1h	2.09E+00	5.306048307	3.91E-55	2.33E-52		Cacna1h	13.66678268	17.35846831	11.06678859	49.50401373	69.81646496	57.32819511	56.95438713					
Tigit	2.77E+00	3.870007251	5.44E-55	3.10E-52		Tigit	3.652872789	3.508626574	3.171185034	21.60841043	24.88925337	19.22062886	25.97919413					
Txndc5	1.21E+00	8.921177763	1.01E-54	5.28E-52		Txndc5	292.4817454	291.6468896	259.4547102	564.6265438	701.1176118	638.952433	628.8963379					
Gbp10	2.09E+00	5.258216318	1.01E-54	5.28E-52		Gbp10	15.8081219	13.29584807	11.90812339	70.37993568	48.51295148	52.12260812	54.15662776					
Tlr7	1.46E+00	7.094132151	2.38E-54	1.19E-51		Tlr7	62.8546042	72.94249983	73.64915446	223.8973149	167.7563801	184.1976932	165.8671625					
Amigo2	1.64E+00	5.237170876	4.60E-53	2.21E-50		Amigo2	17.00475264	19.45133329	15.72648904	50.17546151	56.31720889	52.58977619	52.02500158					
8430410A17Rik	1.63E+00	5.658788731	6.85E-53	3.18E-50		8430410A17Rik	24.75136218	22.7752953	22.52188555	61.89527734	71.15232884	64.66940752	84.5323009					
2810417H13Rik	2.11E+00	6.004029948	1.41E-51	6.30E-49		2810417H13Rik	21.28743108	17.23535861	29.18784592	81.79454797	109.4705296	77.68337498	109.9119752					
Nt5e	1.65E+00	5.52702699	3.28E-51	1.42E-48		Nt5e	22.86194522	22.7752953	17.60331284	61.5290331	61.52004717	59.59729713	75.53950293					
Cd163	-2.14E+00	4.542702664	2.97E-50	1.24E-47		Cd163	31.93114662	47.64345558	47.30890326	9.705472483	10.5462938	8.542501716	8.52650474					
Reln	2.37E+00	4.475886571	5.50E-50	2.22E-47		Reln	5.66825088	8.125240487	6.212933944	26.91895198	37.89634906	39.24211726	31.10841964					
Neil1	1.50E+00	5.973908428	2.06E-49	8.06E-47		Neil1	34.38738867	30.90053579	28.60538336	75.75151793	92.73707682	77.88358986	98.05480451					
Ifi27l2a	1.97E+00	6.700761387	3.14E-46	1.19E-43		Ifi27l2a	37.85131976	40.87242184	41.03125125	203.0824336	118.6809596	166.1783537	114.8413607					
Prps2	9.67E-01	7.366102966	2.35E-45	8.67E-43		Prps2	108.3265724	108.0903204	109.5029608	198.0160549	210.0118639	213.2955897	204.0365939					
Trp53inp1	1.27E+00	8.310061265	9.64E-45	3.45E-42		Trp53inp1	176.7864469	185.280105	172.0853266	368.8079543	509.2453733	426.1907497	372.7015158					
H1fx	6.15E+00	2.13550753	1.06E-44	3.69E-42		H1fx	0.188941696	0.123109704	0	6.470314988	8.929195418	4.73841892	10.25845102					
Lag3	1.73E+00	4.892774911	2.75E-44	9.31E-42		Lag3	14.42254946	13.91139659	10.80791634	45.23116421	40.35715094	38.30778113	44.0980167					
Tox2	4.59E+00	2.145895202	1.55E-43	5.12E-41		Tox2	0.377883392	0.430883965	0.129436124	6.653437111	7.171479784	6.206661403	9.991997742					
Stat1	1.13E+00	8.876390225	3.14E-43	1.01E-40		Stat1	318.6816606	269.7333622	266.7678512	668.8840721	562.3986941	566.6748599	620.2366065					
Xbp1	1.51E+00	8.024696529	3.99E-43	1.25E-40		Xbp1	112.3573286	140.5297275	131.701256	294.0330877	458.0606941	359.5191933	316.9461684					
Spon1	2.82E+00	3.808379354	3.66E-42	1.12E-39		Spon1	2.078358656	4.185729948	3.300621157	20.5096777	27.98283288	22.424067	17.18623612					
Evc	3.18E+00	3.036619422	1.17E-41	3.48E-39		Evc	0.94470848	1.908200417	1.617951548	10.86524592	15.88974933	11.34551009	14.78815666					
Msl3	1.01E+00	6.442791733	1.57E-41	4.58E-39		Msl3	58.76086745	53.98360536	55.98112355	108.8355814	109.0486779	112.4540265	108.3132555					
Dnm3	3.50E+00	2.270865783	1.94E-41	5.52E-39		Dnm3	0.881727915	0.86176793	0.388308371	8.240495504	8.29641779	7.274474117	7.860371557					
Zan	2.51E+00	3.770473375	3.22E-41	8.95E-39		Zan	4.660561835	4.308839652	2.329850229	21.91361397	18.84271159	22.35732871	20.65012867					
Bhlha15	2.54E+00	3.886662394	2.11E-40	5.75E-38		Bhlha15	3.337969963	4.493504209	4.141955962	18.19013082	29.52962264	23.7588329	19.78415553					
Irgm1	1.12E+00	7.000152321	2.25E-40	5.99E-38		Irgm1	82.12665719	77.06667492	75.97900468	191.118455	150.6010755	160.3053838	155.075805					
Mx1	2.20E+00	5.529653932	3.01E-40	7.84E-38		Mx1	13.60380211	16.31203583	16.56782385	89.72983993	50.05974124	82.68874708	51.82516162					
Angptl2	3.21E+00	3.773308993	1.28E-39	3.26E-37		Angptl2	3.589892224	2.339084383	1.3590793	23.0123467	22.77999461	14.34873335	27.64452709					
Ifit3	2.77E+00	5.292002934	1.83E-39	4.59E-37		Ifit3	9.006220842	10.15655061	8.80165642	86.79988598	40.91961995	76.01491761	39.90137765					
Bcat1	3.12E+00	2.549147716	3.74E-39	9.18E-37		Bcat1	1.007689045	1.4157616	0.906052867	9.27818753	9.069812668	8.475763421	10.79135756					
Gnaz	4.59E+00	1.822929897	8.02E-39	1.93E-36		Gnaz	0.314902827	0.061554852	0.388308371	5.24950084	6.819936658	4.805157215	7.194238374					
Basp1	1.53E+00	5.028997779	1.68E-37	3.97E-35		Basp1	14.1706272	16.8660295	16.89141416	43.09473945	49.77850674	37.97408966	49.16062889					
Gbp6	1.65E+00	5.120194612	4.17E-37	9.67E-35		Gbp6	15.30427738	17.1122489	15.66177098	59.57573046	39.37283019	48.05157215	47.09561602					
Gm8221	-1.80E+00	4.147653578	5.20E-37	1.18E-34		Gm8221	32.12008832	27.94590289	30.80579747	9.27818753	9.702590296	7.875118769	6.794558465					
Gm12250	1.53E+00	5.263495417	7.93E-37	1.77E-34		Gm12250	17.76051942	18.46645565	20.51562563	63.36025432	44.22412534	51.1215337	52.15822821					
Icos	1.34E+00	5.37551933	1.14E-36	2.50E-34		Icos	24.56242048	20.86709489	22.32773136	51.15211283	54.98134501	52.58977619	63.28265237					
Bub1b	1.68E+00	5.694129113	1.17E-36	2.53E-34		Bub1b	20.72060599	18.2817911	30.87051553	62.07839946	82.82356065	65.93743512	80.06920857					
Tmsb4x	8.36E-01	11.87188926	1.81E-36	3.85E-34		Tmsb4x	2633.028495	2613.557469	2648.651402	4668.515386	4770.36992	4624.429913	4178.187163					
Parm1	4.38E+00	1.735660638	2.16E-36	4.50E-34		Parm1	0.125961131	0.369329113	0.32359031	5.493663669	6.046541779	4.271250858	6.727945146					
Hccs	1.10E+00	5.671283544	4.69E-36	9.63E-34		Hccs	31.4273021	32.93184591	29.8997446	62.99401008	68.69152695	63.06768845	67.01299819					
H1f0	1.48E+00	5.416241618	1.48E-35	2.99E-33		H1f0	23.49175087	21.79041767	19.09182826	50.48066505	71.78510647	51.72217836	59.61891986					
Siglech	-1.29E+00	5.569992694	2.15E-35	4.28E-33		Siglech	73.750242	80.5753015	64.26503548	32.41261565	28.54530189	30.63287725	23.58111467					
Fut8	1.37E+00	5.672832206	7.52E-35	1.47E-32		Fut8	25.31818726	25.85303791	30.48220716	56.82889862	83.2454124	68.87392008	65.48089187					
Spock2	2.55E+00	3.496516783	1.02E-34	1.97E-32		Spock2	3.526911659	3.200852313	2.394568291	14.71081049	15.2569717	16.48435878	23.11482144					
Sdc1	1.98E+00	5.028265642	1.08E-34	2.06E-32		Sdc1	13.03697702	13.60362233	10.35488991	38.5777271	62.29344205	53.6575889	35.83796523					
H2afx	1.18E+00	5.605102889	1.43E-34	2.67E-32		H2afx	27.90039044	26.83791555	31.90600452	59.27052692	64.82455256	59.8642503	69.34446433					
Hsp90b1	1.25E+00	10.05696509	9.52E-33	1.75E-30		Hsp90b1	577.5317841	611.8552306	621.4228305	1164.717739	1754.481437	1526.972182	1161.736271					
