Gene	BXSB_B6_Y1_GES12_52056	Gene	BXSB_B6_Y2_GES12_52057	Gene	BXSB_B6_Y3_GES12_52058	Gene	BXSB_Yaa1_GES12_52059	Gene	BXSB_Yaa2_GES12_52060	Gene	BXSB_Yaa3_GES12_52061	Gene	BXSB_Yaa4_GES12_52062
0610005C13Rik	3	0610005C13Rik	1	0610005C13Rik	3	0610005C13Rik	1	0610005C13Rik	7	0610005C13Rik	1	0610005C13Rik	1
0610007C21Rik	398	0610007C21Rik	495	0610007C21Rik	395	0610007C21Rik	414	0610007C21Rik	386	0610007C21Rik	377	0610007C21Rik	375
0610007L01Rik	1149	0610007L01Rik	1230	0610007L01Rik	1179	0610007L01Rik	1463	0610007L01Rik	1419	0610007L01Rik	1406	0610007L01Rik	1369
0610007P08Rik	732	0610007P08Rik	750	0610007P08Rik	660	0610007P08Rik	938	0610007P08Rik	885	0610007P08Rik	859	0610007P08Rik	1001
0610007P14Rik	485	0610007P14Rik	461	0610007P14Rik	444	0610007P14Rik	517	0610007P14Rik	495	0610007P14Rik	467	0610007P14Rik	459
0610007P22Rik	334	0610007P22Rik	348	0610007P22Rik	315	0610007P22Rik	345	0610007P22Rik	291	0610007P22Rik	307	0610007P22Rik	334
0610008F07Rik	0	0610008F07Rik	0	0610008F07Rik	0	0610008F07Rik	0	0610008F07Rik	0	0610008F07Rik	0	0610008F07Rik	0
0610009B14Rik	0	0610009B14Rik	2	0610009B14Rik	1	0610009B14Rik	0	0610009B14Rik	0	0610009B14Rik	0	0610009B14Rik	0
0610009B22Rik	88	0610009B22Rik	89	0610009B22Rik	94	0610009B22Rik	70	0610009B22Rik	96	0610009B22Rik	74	0610009B22Rik	98
0610009D07Rik	758	0610009D07Rik	806	0610009D07Rik	807	0610009D07Rik	855	0610009D07Rik	753	0610009D07Rik	787	0610009D07Rik	867
0610009L18Rik	30	0610009L18Rik	55	0610009L18Rik	49	0610009L18Rik	34	0610009L18Rik	34	0610009L18Rik	43	0610009L18Rik	52
0610009O20Rik	805	0610009O20Rik	869	0610009O20Rik	872	0610009O20Rik	748	0610009O20Rik	641	0610009O20Rik	716	0610009O20Rik	744
0610010B08Rik	7	0610010B08Rik	8	0610010B08Rik	10	0610010B08Rik	7	0610010B08Rik	7	0610010B08Rik	6	0610010B08Rik	4
0610010F05Rik	248	0610010F05Rik	236	0610010F05Rik	218	0610010F05Rik	253	0610010F05Rik	219	0610010F05Rik	230	0610010F05Rik	215
0610010K14Rik	576	0610010K14Rik	599	0610010K14Rik	532	0610010K14Rik	575	0610010K14Rik	489	0610010K14Rik	525	0610010K14Rik	552
0610010O12Rik	14	0610010O12Rik	31	0610010O12Rik	37	0610010O12Rik	17	0610010O12Rik	8	0610010O12Rik	7	0610010O12Rik	13
0610011F06Rik	309	0610011F06Rik	315	0610011F06Rik	313	0610011F06Rik	332	0610011F06Rik	276	0610011F06Rik	312	0610011F06Rik	319
0610011L14Rik	517	0610011L14Rik	487	0610011L14Rik	444	0610011L14Rik	522	0610011L14Rik	479	0610011L14Rik	459	0610011L14Rik	474
0610012G03Rik	234	0610012G03Rik	212	0610012G03Rik	261	0610012G03Rik	212	0610012G03Rik	215	0610012G03Rik	260	0610012G03Rik	234
0610012H03Rik	0	0610012H03Rik	0	0610012H03Rik	0	0610012H03Rik	1	0610012H03Rik	2	0610012H03Rik	0	0610012H03Rik	1
0610030E20Rik	2286	0610030E20Rik	2322	0610030E20Rik	2135	0610030E20Rik	2153	0610030E20Rik	1796	0610030E20Rik	1914	0610030E20Rik	1879
0610031J06Rik	1257	0610031J06Rik	1295	0610031J06Rik	1244	0610031J06Rik	1437	0610031J06Rik	1255	0610031J06Rik	1271	0610031J06Rik	1182
0610037L13Rik	474	0610037L13Rik	498	0610037L13Rik	470	0610037L13Rik	478	0610037L13Rik	392	0610037L13Rik	394	0610037L13Rik	370
0610037P05Rik	511	0610037P05Rik	456	0610037P05Rik	495	0610037P05Rik	482	0610037P05Rik	488	0610037P05Rik	448	0610037P05Rik	460
0610038B21Rik	0	0610038B21Rik	1	0610038B21Rik	4	0610038B21Rik	2	0610038B21Rik	0	0610038B21Rik	6	0610038B21Rik	0
0610039K10Rik	1	0610039K10Rik	1	0610039K10Rik	1	0610039K10Rik	0	0610039K10Rik	0	0610039K10Rik	1	0610039K10Rik	0
0610040B10Rik	15	0610040B10Rik	21	0610040B10Rik	16	0610040B10Rik	21	0610040B10Rik	10	0610040B10Rik	4	0610040B10Rik	15
0610040F04Rik	0	0610040F04Rik	1	0610040F04Rik	0	0610040F04Rik	1	0610040F04Rik	2	0610040F04Rik	3	0610040F04Rik	1
0610040J01Rik	14	0610040J01Rik	43	0610040J01Rik	45	0610040J01Rik	14	0610040J01Rik	17	0610040J01Rik	10	0610040J01Rik	9
0610043K17Rik	14	0610043K17Rik	13	0610043K17Rik	9	0610043K17Rik	14	0610043K17Rik	7	0610043K17Rik	7	0610043K17Rik	6
0910001L09Rik	543	0910001L09Rik	556	0910001L09Rik	520	0910001L09Rik	557	0910001L09Rik	506	0910001L09Rik	504	0910001L09Rik	482
100043387	0	100043387	0	100043387	0	100043387	0	100043387	0	100043387	0	100043387	0
1100001G20Rik	42	1100001G20Rik	170	1100001G20Rik	215	1100001G20Rik	71	1100001G20Rik	105	1100001G20Rik	88	1100001G20Rik	76
